Reference, Value, Footprint, Datasheet, DigiKey
C5,100n,Capacitors_SMD:C_0805_HandSoldering,
R3,300E,Resistors_SMD:R_0805_HandSoldering,
D3,Blink,LEDs:LED-3MM,
H5,AREF,uControl:Header_A_REF,
H2,Power,Socket_Strips:Socket_Strip_Straight_1x06,
H4,ANALOG,Socket_Strips:Socket_Strip_Straight_1x06,
H7,IO_H,Socket_Strips:Socket_Strip_Straight_1x08,
H6,IO_L,Socket_Strips:Socket_Strip_Straight_1x08,
H1,V_SEL,uControl:Header_3,
P2,CONN_1,BADGEr:vite_3mm,
P1,CONN_1,BADGEr:vite_3mm,
C2,100u,Capacitors_Elko_ThroughHole:Elko_vert_11.2x6.3mm_RM2.5,
R2,300E,Resistors_SMD:R_0805_HandSoldering,
D2,PWR,LEDs:LED-3MM,
C3,100n,Capacitors_SMD:C_0805_HandSoldering,
U1,7805,Discret:LM78XXV,
C4,100n,Capacitors_SMD:C_0805_HandSoldering,
C6,100n,Capacitors_SMD:C_0805_HandSoldering,
H8,FTDI,BADGEr:Header_FTDI,
H9,ISP,BADGEr:Header_ICSP,
C1,100n,Capacitors_SMD:C_0805_HandSoldering,
SW1,RST,uControl:SW-PB,http://industrial.panasonic.com/www-data/pdf/ATK0000/ATK0000CE32.pdf,P10884S-ND
R1,10k,Resistors_SMD:R_0805_HandSoldering,
X1,16MHz,Crystals:Crystal_HC49-U_Vertical_3Pin,http://search.murata.co.jp/Ceramy/image/img/w_hinm/L0430E.pdf,490-1214-ND
U2,ATMEGA328-P,MAPone.pretty:DIP-28__300_ELL_ZIF,
D1,1N4007,Diodes_ThroughHole:Diode_DO-41_SOD81_Vertical_KathodeUp,
J1,BARREL_JACK,uControl:JACK_ALIM,
J2,USB-Micro,BADGEr:USB_B_Micro,
P3,CONN_1,BADGEr:vite_3mm,
P4,CONN_1,BADGEr:vite_3mm,
C7,22pF,Capacitors_SMD:C_0805_HandSoldering,
C8,22pF,Capacitors_SMD:C_0805_HandSoldering,
